timestamp,open,high,low,close,volume,symbol,ISIN No,Momentum Score
04-01-2019 09:26,275.0,275.54998779296875,274.95001220703125,275.54998779296875,18655,IGL,INE203G01027,
04-01-2019 09:27,275.54998779296875,275.6000061035156,275.20001220703125,275.20001220703125,4101,IGL,INE203G01027,
04-01-2019 09:28,275.20001220703125,275.29998779296875,274.75,275.0,3684,IGL,INE203G01027,
04-01-2019 09:29,275.0,275.20001220703125,275.0,275.1499938964844,723,IGL,INE203G01027,
04-01-2019 09:30,275.3999938964844,275.5,275.04998779296875,275.04998779296875,2219,IGL,INE203G01027,
04-01-2019 09:31,275.04998779296875,275.3500061035156,275.0,275.3500061035156,2330,IGL,INE203G01027,
04-01-2019 09:32,275.3500061035156,275.3500061035156,274.8999938964844,274.8999938964844,3310,IGL,INE203G01027,
04-01-2019 09:33,274.8999938964844,275.29998779296875,274.6000061035156,275.29998779296875,3190,IGL,INE203G01027,
04-01-2019 09:34,275.29998779296875,275.29998779296875,274.8999938964844,275.04998779296875,721,IGL,INE203G01027,
04-01-2019 09:35,275.04998779296875,275.29998779296875,274.95001220703125,275.0,8966,IGL,INE203G01027,
04-01-2019 09:36,275.0,275.04998779296875,275.0,275.0,950,IGL,INE203G01027,
04-01-2019 09:37,274.8999938964844,274.95001220703125,274.3999938964844,274.5,1680,IGL,INE203G01027,
04-01-2019 09:38,274.5,274.5,273.6000061035156,273.6499938964844,7490,IGL,INE203G01027,
04-01-2019 09:39,273.6499938964844,273.6499938964844,273.20001220703125,273.20001220703125,2389,IGL,INE203G01027,
04-01-2019 09:40,273.20001220703125,274.1000061035156,273.20001220703125,274.0,8287,IGL,INE203G01027,
04-01-2019 09:41,274.0,274.29998779296875,273.95001220703125,274.20001220703125,1788,IGL,INE203G01027,
04-01-2019 09:42,274.20001220703125,274.45001220703125,274.20001220703125,274.25,1088,IGL,INE203G01027,
04-01-2019 09:43,274.25,274.25,273.70001220703125,273.79998779296875,2476,IGL,INE203G01027,
04-01-2019 09:44,273.8500061035156,273.95001220703125,273.75,273.75,1022,IGL,INE203G01027,
04-01-2019 09:45,273.70001220703125,273.75,273.25,273.3500061035156,2292,IGL,INE203G01027,
04-01-2019 09:46,273.3500061035156,273.54998779296875,273.20001220703125,273.3999938964844,2543,IGL,INE203G01027,
04-01-2019 09:47,273.3999938964844,273.3999938964844,273.20001220703125,273.20001220703125,2303,IGL,INE203G01027,
04-01-2019 09:48,273.20001220703125,273.6499938964844,273.04998779296875,273.6000061035156,4008,IGL,INE203G01027,
04-01-2019 09:49,273.5,275.1000061035156,273.5,274.54998779296875,8588,IGL,INE203G01027,
04-01-2019 09:50,274.54998779296875,274.70001220703125,274.29998779296875,274.5,1649,IGL,INE203G01027,
04-01-2019 09:51,274.5,274.79998779296875,273.95001220703125,274.79998779296875,40598,IGL,INE203G01027,
04-01-2019 09:52,274.79998779296875,275.0,274.79998779296875,275.0,3864,IGL,INE203G01027,
04-01-2019 09:53,275.0,275.0,274.75,274.75,2261,IGL,INE203G01027,
04-01-2019 09:54,274.70001220703125,274.8500061035156,274.70001220703125,274.75,558,IGL,INE203G01027,
04-01-2019 09:55,274.8500061035156,274.95001220703125,274.75,274.95001220703125,636,IGL,INE203G01027,
04-01-2019 09:56,274.95001220703125,275.0,274.8999938964844,274.8999938964844,4109,IGL,INE203G01027,
